Requested Quantity 1,Digi-Key Part Number 1,Manufacturer Part Number,Description
1,1.50KXBK-ND,MFR-25FBF52-1K5,RES 1.5K OHM 1% 1/4W AXIAL
3,100XBK-ND,MFR-25FBF52-100R,RES 100 OHM 1% 1/4W AXIAL
50,1109PHCT-ND,A104K15X7RF5TAA,CAP CER 0.1UF 50V X7R AXIAL
3,1175-1479-ND,243-20-1-03,CONN IC DIP SOCKET 20POS TIN
2,1175-2551-ND,243-24-1-06,CONN IC DIP SOCKET 24POS TIN
1,1189-1145-ND,16YXJ4700M16X25,CAP ALUM 4700UF 20% 16V RADIAL
4,1934-1364-ND,2743007111,FERRITE BEAD AXIAL 1LN
1,2019-CF1/4CT52R510JCT-ND,CF1/4CT52R510J,RES 51 OHM 5% 1/4W AXIAL
1,2447-GKG50015-ND,GKG50015,CAP TRIMMER 10-50PF 100V TH
1,2449-J0971CS5VDC.45-ND,J0971CS5VDC.45,RELAY GEN PURPOSE SPDT 10A 5V
1,296-1627-5-ND,SN74LS02N,IC GATE NOR 4CH 2-INP 14DIP
1,296-1639-5-ND,SN74LS138N,IC DECODER/DEMUX 1X3:8 16DIP
1,296-1653-5-ND,SN74LS244N,IC BUF NON-INVERT 5.25V 20DIP
1,296-1657-5-ND,SN74LS273N,IC FF D-TYPE SNGL 8BIT 20DIP
3,36-1211-ND,1211,CONN QC TAB 0.110 SOLDER
1,401-1223-ND,F2UEE,SWITCH PUSH DPDT 0.5A 125V
2,445-180756-1-ND,FA28C0G2E151JNU06,CAP CER 150PF 250V C0G RADIAL
2,445-180775-1-ND,FA28NP01H330JNU06,CAP CER 33PF 50V NP0 RADIAL
1,490-9014-1-ND,RDE5C1H390J0M1H03A,CAP CER 39PF 50V C0G/NP0 RADIAL
2,490-9030-1-ND,RDE5C1H560J0M1H03A,CAP CER 56PF 50V C0G/NP0 RADIAL
1,493-10824-1-ND,UES1E100MDM1TD,CAP ALUM 10UF 20% 25V RADIAL
2,493-1809-ND,UPW1E100MDD,CAP ALUM 10UF 20% 25V RADIAL
1,718-2229-ND,515D105M050JA6AE3,CAP ALUM 1UF 20% 50V RADIAL
11,A120349-ND,1-2199298-4,CONN IC DIP SOCKET 16POS TIN
1,A144434-ND,6-520415-6,CONN FFC VERT 16POS 2.54MM PCB
1,CF12JT100RCT-ND,CF12JT100R,RES 100 OHM 5% 1/2W AXIAL
1,CF12JT220RCT-ND,CF12JT220R,RES 220 OHM 5% 1/2W AXIAL
2,CF14JT100KCT-ND,CF14JT100K,RES 100K OHM 5% 1/4W AXIAL
10,CF14JT10K0CT-ND,CF14JT10K0,RES 10K OHM 5% 1/4W AXIAL
1,CF14JT150RCT-ND,CF14JT150R,RES 150 OHM 5% 1/4W AXIAL
3,CF14JT1K00CT-ND,CF14JT1K00,RES 1K OHM 5% 1/4W AXIAL
1,CF14JT270RCT-ND,CF14JT270R,RES 270 OHM 5% 1/4W AXIAL
10,CF14JT4K70CT-ND,CF14JT4K70,RES 4.7K OHM 5% 1/4W AXIAL
1,CF14JT510RCT-ND,CF14JT510R,RES 510 OHM 5% 1/4W AXIAL
1,CF14JT9K10CT-ND,CF14JT9K10,RES 9.1K OHM 5% 1/4W AXIAL
1,CP-2340-ND,SDS-40J,CONN RCPT FMALE DIN 4POS SOLDER
1,CP-2350-ND,SDS-50J,CONN RCPT FMALE DIN 5POS SOLDER
2,CP-2360-ND,SDS-60J,CONN RCPT FMALE DIN 6POS SOLDER
1,CTX088-ND,MP143,CRYSTAL 14.31818MHZ SERIES TH
5,ED3048-5-ND,ED40DT,CONN IC DIP SOCKET 40POS TIN
1,HS110-ND,501603B00000G,"HEAT SINK TO-3 1.25"" COMPACT"
1,S9672-ND,EBC20DRAS,CONN EDGE DUAL FMALE 40POS 0.100
1,SW410-ND,B3F-3152,SWITCH TACTILE SPST-NO 0.05A 24V
1,SW451-ND,B32-1010,CAP TACTILE SQUARE BLACK
1,AE9989-ND,A 14-LC-TT,CONN IC DIP SOCKET 14POS TIN
1,AE9986-ND,A 08-LC-TT,CONN IC DIP SOCKET 8POS TIN
2,P10369CT-ND,ECA-1CM101B,CAP ALUM 100UF 20% 16V RADIAL
1,A105964CT-ND,LR1LJR10,RES 0.1 OHM 5% 1/2W AXIAL
6,1N4148FS-ND,1N4148,DIODE GEN PURP 100V 200MA DO35
11,399-14073-1-ND,C317C223M5U5TA7301,CAP CER 0.022UF 50V Z5U RADIAL
1,4610X-1-472LF-ND,4610X-101-472LF,RES ARRAY 9 RES 4.7K OHM 10SIP
1,399-13913-1-ND,C315C102K1R5TA7301,CAP CER 1000PF 100V X7R RADIAL
2,1N4002GDICT-ND,1N4002G-T,DIODE GEN PURP 100V 1A DO41
2,1N5401GDICT-ND,1N5401G-T,DIODE GEN PURP 100V 3A AXIAL
1,2N3055GOS-ND,2N3055G,TRANS NPN 60V 15A TO204
1,1514-PN2222APBFREE-ND,PN2222A PBFREE,TRANS NPN 40V 0.8A TO92-3
1,296-NE555P-ND,NE555P,IC OSC SINGLE TIMER 100KHZ 8-DIP
3,1N4148FS-ND,1N4148,DIODE GEN PURP 100V 200MA DO35
1,493-12679-1-ND,UVP1C100MDD1TD,CAP ALUM 10UF 20% 16V RADIAL
1,CP1-3533NG-ND,SJ1-3533NG,CONN JACK STEREO 3.5MM R/A
1,S9716-ND,SBH11-NBPC-D03-ST-BK,CONN HEADER VERT 6POS 2.54MM
1,401-1215-ND,F0201,CAP PUSHBUTTON ROUND BLACK
